"date","gdp.per.capita","inequality","top","bottom","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","lrt.u"
1995,35345.464,3.88942141481323,113402.46,29156.64,342245,5144,16517,10723,129587,137913,3009,740,0
1996,37030.853,4.02727813997797,121752.27,30231.9,362142,5451,16857,10998,132344,140512,3118,850,0
1997,39178.612,4.00299795641362,126460.79,31591.52,373345,6152,16933,11240,132629,142905,3116,911,0
1998,36524.706,4.36162985797175,130964.13,30026.42,370804,6536,17886,11429,133375,141051,3121,946,0
1999,36943.706,5.1242327135194,139277.67,27180.2,378024,7112,18029,11827,134346,139473,3213,986,27
2000,41018.455,5.52979045382669,156177.54,28242.94,386780,8438,18327,12569,131937,134756,3251,1047,39
2001,38659.651,7.03450144588517,159140.26,22622.82,398787,8857,18798,12902,131869,137157,3281,1071,41
2002,39423.341,6.93900788543533,156838.44,22602.43,398166,8423,19106,12992,132318,135951,3197,1081,39
2003,41069.975,6.34774714299552,159243.33,25086.59,399923,7803,19384,12951,135649,135333,2992,1171,50
2004,46320.39,5.73535583759813,161198.37,28106.08,412015,7455,20407,13173,137029,137316,2805,1270,55
2005,49715.385,5.3671244459812,170744.33,31813,432827,7756,22383,13494,139434,139098,2779,1321,69
2006,53355.039,5.93819205693614,185295.82,31204.08,465482,9235,23334,14120,142736,144466,2833,1408,74
2007,59113.86,6.12291118834613,208443.98,34043.28,505987,11054,24446,14530,144340,150979,2932,1527,79
2008,56201.311,6.9748530100619,202059.19,28969.67,540455,12391,24300,15327,146120,156089,3087,1698,88
2009,56111.058,6.37712724651279,192490.78,30184.56,566608,12763,24702,16023,147215,158207,3047,1782,90
2010,63497.758,7.0911654769455,210202,29642.8,584399,13347,26073,16309,148160,157541,3199,2069,100
2011,66816.039,7.27545825702717,216514,29759.5,592361,13919,27051,17046,146559,159768,3385,2295,111
2012,68204.574,7.45831129795623,222826,29876.2,605149,14862,28210,17162,144110,160417,3481,2525,124
2013,70047.47,7.63974140546596,229138,29992.9,607292,16396,27695,17509,144934,160344,3601,2623,132
2014,70966.89,7.81976512474427,235450,30109.6,600176,18847,28736,17554,145026,161698,3751,2762,137
