"country","indicator","Unit","Date","Value"
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1947 12:00:00 AM",1.941
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1948 12:00:00 AM",1.925
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1949 12:00:00 AM",1.981
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1950 12:00:00 AM",2.192
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1951 12:00:00 AM",2.457
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1952 12:00:00 AM",2.417
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1953 12:00:00 AM",2.247
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1954 12:00:00 AM",2.164
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1956 12:00:00 AM",1.893
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1957 12:00:00 AM",1.833
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1958 12:00:00 AM",1.765
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1959 12:00:00 AM",1.835
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1960 12:00:00 AM",1.847
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1961 12:00:00 AM",1.805
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1962 12:00:00 AM",1.78
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1963 12:00:00 AM",1.773
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1964 12:00:00 AM",1.743
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1965 12:00:00 AM",1.706
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1966 12:00:00 AM",1.668
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1967 12:00:00 AM",1.693
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1968 12:00:00 AM",1.848
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1969 12:00:00 AM",1.812
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1970 12:00:00 AM",1.799
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1971 12:00:00 AM",1.776
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1972 12:00:00 AM",1.836
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1973 12:00:00 AM",1.931
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1974 12:00:00 AM",1.795
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1975 12:00:00 AM",1.751
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1976 12:00:00 AM",1.742
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1977 12:00:00 AM",1.736
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1978 12:00:00 AM",1.687
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1979 12:00:00 AM",1.686
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1980 12:00:00 AM",1.731
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1981 12:00:00 AM",1.722
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1982 12:00:00 AM",1.768
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1983 12:00:00 AM",1.752
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1986 12:00:00 AM",1.675
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1987 12:00:00 AM",1.705
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1988 12:00:00 AM",1.696
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1989 12:00:00 AM",1.811
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/1993 12:00:00 AM",1.846
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/2000 12:00:00 AM",2.098
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/2001 12:00:00 AM",1.99
"Singapore","Inverted Pareto-Lorenz coefficient","Real 2010 Singapore Dollars","1/1/2002 12:00:00 AM",2.07
